collision_index,collision_year,collision_ref_no,vehicle_reference,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_imd_decile,lsoa_of_casualty,enhanced_casualty_severity,casualty_injury_based,casualty_adjusted_severity_serious,casualty_adjusted_severity_slight,casualty_distance_banding
2021351065623,2021,351065623,2,1,1,1,18,4,3,0,0,0,0,0,1,7,E01018057,3,1,0.0,1.0,-1
2022351224919,2022,351224919,2,1,1,1,6,2,3,0,0,0,0,0,1,6,E01017951,3,1,0.0,1.0,-1
2020350931927,2020,350931927,1,1,3,1,68,10,3,5,1,0,0,0,0,9,E01018287,3,1,0.0,1.0,-1
2023351263940,2023,351263940,1,1,1,1,51,8,3,0,0,0,0,0,9,7,E01018011,3,1,0.0,1.0,-1
2023351384213,2023,351384213,2,1,1,2,26,6,3,0,0,0,0,0,1,8,E01017984,3,1,0.0,1.0,-1
2020350981887,2020,350981887,1,1,3,2,64,9,3,5,1,0,0,0,0,8,E01018225,3,1,0.0,1.0,-1
2023351386580,2023,351386580,2,1,1,2,26,6,3,0,0,0,0,0,1,9,E01017988,3,1,0.0,1.0,-1
2022351187973,2022,351187973,2,1,1,2,47,8,2,0,0,0,0,0,1,10,E01018292,7,1,1.0,0.0,-1
2023351353516,2023,351353516,2,1,1,1,36,7,3,0,0,0,0,0,1,6,E01017951,3,1,0.0,1.0,-1
2024351519381,2024,351519381,2,4,2,1,13,3,3,0,0,2,0,0,9,7,E01021457,3,1,0.0,1.0,4
2021351042504,2021,351042504,2,1,1,1,41,7,3,0,0,0,0,0,23,2,E01017948,3,1,0.0,1.0,-1
2020350996798,2020,350996798,2,1,1,1,27,6,3,0,0,0,0,0,3,9,E01032792,3,1,0.0,1.0,-1
2023351329453,2023,351329453,2,1,1,1,20,4,3,0,0,0,0,0,9,7,E01017994,3,1,0.0,1.0,-1
2020350925618,2020,350925618,1,1,1,1,35,6,3,0,0,0,0,0,9,8,E01033118,3,1,0.0,1.0,-1
2020350949555,2020,350949555,2,1,1,1,39,7,3,0,0,0,0,0,1,2,E01017946,3,1,0.0,1.0,-1
2024351434420,2024,351434420,2,1,1,1,35,6,2,0,0,0,0,0,9,6,E01018297,7,1,1.0,0.0,2
2021351051388,2021,351051388,2,1,1,1,-1,-1,3,0,0,0,0,0,1,3,E01017971,3,1,0.0,1.0,-1
2020350915198,2020,350915198,1,1,1,1,36,7,3,0,0,0,0,0,1,9,E01017988,3,1,0.0,1.0,-1
2021351108112,2021,351108112,2,1,1,1,20,4,3,0,0,0,0,0,1,7,E01032795,3,1,0.0,1.0,-1
2022351220003,2022,351220003,2,1,1,2,23,5,2,0,0,0,0,0,1,7,E01017980,7,1,1.0,0.0,-1
2022351190027,2022,351190027,1,1,1,1,43,7,3,0,0,0,0,0,1,8,E01018203,3,1,0.0,1.0,-1
2021351101474,2021,351101474,2,1,1,1,42,7,2,0,0,0,0,0,3,10,E01018237,7,1,1.0,0.0,-1
2021351131019,2021,351131019,2,1,1,2,34,6,3,0,0,0,0,0,9,5,E01026284,3,1,0.0,1.0,-1
2023351287563,2023,351287563,2,1,1,2,45,7,3,0,0,0,0,0,9,4,E01017947,3,1,0.0,1.0,-1
2023351306100,2023,351306100,2,1,1,1,57,9,2,0,0,0,0,0,1,3,E01017975,7,1,1.0,0.0,-1
2021351097418,2021,351097418,1,1,3,2,22,5,3,2,1,0,0,2,0,7,E01032795,3,1,0.0,1.0,-1
2024351396062,2024,351396062,2,1,1,2,30,6,3,0,0,0,0,0,9,4,E01018044,3,1,0.0,1.0,4
2022351197556,2022,351197556,2,1,1,1,25,5,2,0,0,0,0,0,1,9,E01018006,7,1,1.0,0.0,-1
2020350967375,2020,350967375,2,5,2,2,32,6,2,0,0,1,0,0,9,7,E01016777,6,1,1.0,0.0,-1
2024351508040,2024,351508040,2,2,1,1,35,6,3,0,0,0,0,0,9,7,E01035526,3,1,0.0,1.0,1
2024351505399,2024,351505399,2,1,1,1,40,7,3,0,0,0,0,0,1,7,E01018286,3,1,0.0,1.0,1
2020350977943,2020,350977943,2,2,1,1,63,9,3,0,0,0,0,0,9,10,E01018252,3,1,0.0,1.0,-1
2020350986119,2020,350986119,2,1,1,1,30,6,3,0,0,0,0,0,1,9,E01018010,3,1,0.0,1.0,-1
2023351379948,2023,351379948,1,1,3,1,8,2,3,5,1,0,0,-1,0,10,E01018274,3,1,0.0,1.0,-1
2024351409339,2024,351409339,2,1,1,1,21,5,3,0,0,0,0,0,1,8,E01017987,3,1,0.0,1.0,1
2022351241171,2022,351241171,2,1,1,1,52,8,3,0,0,0,0,0,5,8,E01033116,3,1,0.0,1.0,-1
2023351351532,2023,351351532,1,1,3,2,35,6,3,6,9,0,0,0,0,10,E01027565,3,1,0.0,1.0,-1
2023351388133,2023,351388133,1,1,1,2,43,7,3,0,0,0,0,0,9,6,E01030150,3,1,0.0,1.0,-1
2024351471192,2024,351471192,2,1,1,1,27,6,3,0,0,0,0,0,1,4,E01018009,3,1,0.0,1.0,1
2023351291993,2023,351291993,2,1,1,2,69,10,3,0,0,0,0,0,9,8,E01018219,3,1,0.0,1.0,-1
2020350944841,2020,350944841,1,4,2,2,69,10,3,0,0,1,0,0,9,10,E01010774,3,1,0.0,1.0,-1
2024351538000,2024,351538000,1,1,1,1,27,6,3,0,0,0,0,0,2,6,E01017949,3,1,0.0,1.0,1
2024351430745,2024,351430745,2,1,1,1,33,6,3,0,0,0,0,0,1,5,E01033120,3,1,0.0,1.0,1
2021351044825,2021,351044825,2,1,1,2,26,6,3,0,0,0,0,0,9,10,E01017995,3,1,0.0,1.0,-1
2020350964429,2020,350964429,1,1,1,1,17,4,3,0,0,0,0,0,2,10,E01018301,3,1,0.0,1.0,-1
2021351019292,2021,351019292,1,1,1,1,41,7,2,0,0,0,0,0,9,-1,-1,7,1,1.0,0.0,-1
2020350970588,2020,350970588,1,1,1,2,18,4,3,0,0,0,0,0,1,10,E01018292,3,1,0.0,1.0,-1
2023351309901,2023,351309901,2,1,1,2,60,9,3,0,0,0,0,0,9,8,E01018003,3,1,0.0,1.0,-1
2022351138509,2022,351138509,2,1,1,1,21,5,3,0,0,0,0,0,1,9,E01022082,3,1,0.0,1.0,-1
2021351046930,2021,351046930,2,1,1,2,24,5,2,0,0,0,0,0,1,8,E01018001,6,1,1.0,0.0,-1
2024351420942,2024,351420942,2,1,1,1,48,8,3,0,0,0,0,0,1,6,E01017962,3,1,0.0,1.0,1
2023351303939,2023,351303939,2,1,1,1,43,7,3,0,0,0,0,0,9,7,E01030117,3,1,0.0,1.0,-1
2022351180840,2022,351180840,1,1,1,2,15,3,3,0,0,0,0,0,1,3,E01017944,3,1,0.0,1.0,-1
2022351203147,2022,351203147,1,1,1,2,39,7,3,0,0,0,0,0,9,8,E01018280,3,1,0.0,1.0,-1
2021351124509,2021,351124509,2,1,1,1,19,4,3,0,0,0,0,0,3,2,E01017946,3,1,0.0,1.0,-1
2020350984649,2020,350984649,1,1,1,1,64,9,3,0,0,0,0,0,9,1,E01010677,3,1,0.0,1.0,-1
2022351242767,2022,351242767,1,2,3,1,26,6,3,4,3,0,0,0,0,3,E01017979,3,1,0.0,1.0,-1
2022351258318,2022,351258318,2,1,1,2,48,8,3,0,0,0,0,0,1,6,E01017962,3,1,0.0,1.0,-1
2023351265307,2023,351265307,2,1,1,2,21,5,3,0,0,0,0,0,9,10,E01018295,3,1,0.0,1.0,-1
2020350976134,2020,350976134,2,1,1,2,66,10,2,0,0,0,0,0,1,7,E01018300,7,1,1.0,0.0,-1
2020350940868,2020,350940868,1,1,3,1,26,6,3,3,1,0,0,0,0,3,E01017971,3,1,0.0,1.0,-1
2024351458321,2024,351458321,1,1,1,2,37,7,3,0,0,0,0,0,9,3,E01017975,3,1,0.0,1.0,1
2021351105964,2021,351105964,2,1,1,1,51,8,3,0,0,0,0,0,1,10,E01018293,3,1,0.0,1.0,-1
2020351001782,2020,351001782,1,1,1,2,71,10,3,0,0,0,0,0,9,7,E01018057,3,1,0.0,1.0,-1
2021351046878,2021,351046878,2,1,1,2,17,4,3,0,0,0,0,0,1,8,E01018297,3,1,0.0,1.0,-1
2021351020594,2021,351020594,2,3,2,2,63,9,3,0,0,2,0,0,9,5,E01033113,3,1,0.0,1.0,-1
2022351130681,2022,351130681,2,3,2,1,37,7,3,0,0,-1,0,0,9,8,E01018276,3,1,0.0,1.0,-1
